94789KJFK JFK20190601040510206/01/19 04:05:31  5-MIN KJFK 010905Z 02010KT 10SM CLR 18/16 A2981 120 87 500 040/10 RMK AO2 T01780156
94789KJFK JFK20190601041010206/01/19 04:10:31  5-MIN KJFK 010910Z 03009KT 10SM CLR 18/16 A2982 110 87 500 040/09 RMK AO2 T01780156
94789KJFK JFK20190601041510206/01/19 04:15:31  5-MIN KJFK 010915Z 03008KT 10SM CLR 18/15 A2982 110 83 500 050/08 RMK AO2 T01780150
94789KJFK JFK20190601042010206/01/19 04:20:31  5-MIN KJFK 010920Z 03008KT 10SM CLR 18/15 A2983 100 83 500 050/08 RMK AO2 T01780150
94789KJFK JFK20190601042510206/01/19 04:25:31  5-MIN KJFK 010925Z 03008KT 10SM CLR 18/15 A2983 100 83 500 050/08 RMK AO2 T01780150
94789KJFK JFK20190601043010206/01/19 04:30:31  5-MIN KJFK 010930Z 03008KT 10SM CLR 18/14 A2983 100 81 500 040/08 RMK AO2 T01780144
94789KJFK JFK20190601043510206/01/19 04:35:31  5-MIN KJFK 010935Z 02007KT 10SM CLR 18/14 A2983 100 81 500 040/07 RMK AO2 T01780144
94789KJFK JFK20190601044010206/01/19 04:40:31  5-MIN KJFK 010940Z 03007KT 10SM CLR 17/14 A2983 100 83 400 040/07 RMK AO2 T01720144
94789KJFK JFK20190601044511106/01/19 04:45:31  5-MIN KJFK 010945Z 02006KT 10SM BKN250 17/14 A2984 90 83 400 030/06 RMK AO2 SLP103 T01720144
94789KJFK JFK20190601045011106/01/19 04:50:31  5-MIN KJFK 010950Z 02007KT 10SM BKN250 17/14 A2984 90 83 400 030/07 RMK AO2 SLP103 T01720144
94789KJFK JFK20190601045510106/01/19 04:55:31  5-MIN KJFK 010955Z 02007KT 10SM CLR 17/14 A2984 90 83 400 030/07 RMK AO2 T01720144
94789KJFK JFK20190601050010106/01/19 05:00:31  5-MIN KJFK 011000Z 02008KT 10SM CLR 17/14 A2984 90 80 400 030/08 RMK AO2 T01720139
94789KJFK JFK20190601050510106/01/19 05:05:31  5-MIN KJFK 011005Z 02008KT 10SM CLR 18/14 A2984 90 78 500 030/08 RMK AO2 T01780139
94789KJFK JFK20190601051010106/01/19 05:10:31  5-MIN KJFK 011010Z 02008KT 10SM CLR 17/14 A2984 90 80 400 030/08 RMK AO2 T01720139
94789KJFK JFK20190601051510106/01/19 05:15:31  5-MIN KJFK 011015Z 02008KT 10SM CLR 18/14 A2984 90 78 500 030/08 RMK AO2 T01780139
94789KJFK JFK20190601052010106/01/19 05:20:31  5-MIN KJFK 011020Z 02007KT 10SM CLR 18/14 A2985 80 78 500 040/07 RMK AO2 T01780139
94789KJFK JFK20190601052510106/01/19 05:25:31  5-MIN KJFK 011025Z 03007KT 10SM CLR 18/14 A2985 80 78 500 040/07 RMK AO2 T01780139
94789KJFK JFK20190601053010106/01/19 05:30:31  5-MIN KJFK 011030Z 03007KT 10SM CLR 18/14 A2985 80 78 500 050/07 RMK AO2 T01780139
94789KJFK JFK20190601053510106/01/19 05:35:31  5-MIN KJFK 011035Z 05006KT 10SM CLR 18/14 A2985 80 78 500 060/06 RMK AO2 T01780139
94789KJFK JFK20190601054010106/01/19 05:40:31  5-MIN KJFK 011040Z 05005KT 10SM CLR 17/14 A2985 80 80 400 070/05 RMK AO2 T01720139
94789KJFK JFK20190601054510806/01/19 05:45:31  5-MIN KJFK 011045Z 04006KT 10SM CLR 18/14 A2985 80 78 500 050/06 RMK AO2 SLP107 T01780139
94789KJFK JFK20190601055011106/01/19 05:50:31  5-MIN KJFK 011050Z 03007KT 10SM BKN250 18/14 A2985 80 78 500 050/07 RMK AO2 SLP107 T01780139
94789KJFK JFK20190601055510106/01/19 05:55:31  5-MIN KJFK 011055Z 04008KT 10SM CLR 18/13 A2985 80 75 500 050/08 RMK AO2 T01780133
94789KJFK JFK20190601060010106/01/19 06:00:31  5-MIN KJFK 011100Z 04007KT 10SM CLR 18/13 A2985 80 75 500 050/07 RMK AO2 T01780133
